"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"SL","2023-05-26","88.1","1.31","6.15","Detmers, Reid",663743,672282,"single","hit_into_play",,,,,5,"Nick Fortes singles on a sharp line drive to left fielder Taylor Ward.   Bryan De La Cruz scores.    Yuli Gurriel to 3rd.    Jean Segura to 2nd.","R","R","L","LAA","MIA","X",7,"line_drive",0,0,2023,"0.09","0.53","0.06","2.46",650559,493329,516416,0,6,"Top",62.01,104.19,,,595453,,,-3.201836247937422,-128.34982874242692,-4.023864253856515,1.5579287357235692,24.27308413742421,-25.721631103860382,"3.08","1.47",195,"102.5",11,"88.1",1844,"6.1",718015,672282,595453,592273,650859,570482,687263,621493,545361,592669,"54.45",0.903,0.89,"0.9",1,1,0,4,48,1,"Slider",1,2,2,1,3,1,3,1,"Strategic","Standard",139,"-0.067","1.065"
"SL","2023-05-26","89.4","1.41","6.16","Detmers, Reid",516416,672282,"single","hit_into_play",,,,,3,"Jean Segura singles on a bunt ground ball to third baseman Gio Urshela.   Bryan De La Cruz to 3rd.    Yuli Gurriel to 2nd.","R","R","L","LAA","MIA","X",5,"ground_ball",0,0,2023,"0.02","0.48","0.3","2.61",,650559,493329,0,6,"Top",105.76,180.25,,,595453,,,-2.74737964791361,-130.22755807227566,-3.7134955319624505,0.7759801695647947,27.91029075678845,-26.12668798506678,"3.06","1.46",2,"39.8",-59,"88.2",1845,"5.5",718015,672282,595453,592273,650859,570482,687263,621493,545361,592669,"54.99",0.194,0.175,"0.9",1,1,0,1,47,1,"Slider",1,2,2,1,2,1,2,1,"Strategic","Standard",133,"-0.072","0.06"
"FF","2023-05-26","93.9","1.19","6.15","Detmers, Reid",493329,672282,"single","hit_into_play",,,,,2,"Yuli Gurriel singles on a sharp line drive to left fielder Taylor Ward.   Bryan De La Cruz to 2nd.","R","R","L","LAA","MIA","X",7,"line_drive",0,1,2023,"0.76","1.41","0.02","3.47",,,650559,0,6,"Top",81.53,90.01,,,595453,,,-4.662823306049836,-136.66997845480495,-4.293103660894456,10.54929331255197,30.94639137794677,-13.74194564955997,"3.37","1.62",211,"106.7",9,"93.2",2093,"5.9",718015,672282,595453,592273,650859,570482,687263,621493,545361,592669,"54.59",0.714,0.684,"0.9",1,1,0,4,46,2,"4-Seam Fastball",1,2,2,1,2,1,2,1,"Standard","Standard",140,"-0.052","0.719"
"FF","2023-05-26","94.2","1.33","6.03","Detmers, Reid",493329,672282,,"foul",,,,,2,"Yuli Gurriel singles on a sharp line drive to left fielder Taylor Ward.   Bryan De La Cruz to 2nd.","R","R","L","LAA","MIA","S",,,0,0,2023,"0.71","1.3","-0.12","3.14",,,650559,0,6,"Top",,,,,595453,,,-5.300013886251326,-136.9829043564071,-4.6279642106955095,10.153749536740083,32.79220922275122,-14.995405506553503,"3.37","1.62",217,"70.6",54,"93.3",2010,"6",718015,672282,595453,592273,650859,570482,687263,621493,545361,592669,"54.54",,,,,,,,46,1,"4-Seam Fastball",1,2,2,1,2,1,2,1,"Standard","Standard",141,"0","-0.051"
"SL","2023-05-26","89.8","1.23","6.28","Detmers, Reid",650559,672282,"single","hit_into_play",,,,,14,"Bryan De La Cruz singles on a line drive to left fielder Taylor Ward.","R","R","L","LAA","MIA","X",7,"line_drive",2,2,2023,"0.14","0.5","1.03","1.77",,,,0,6,"Top",103.62,103.09,,,595453,,,-0.7902162959057033,-130.70003923762832,-6.207040730268723,1.814557306106466,27.851730346200057,-25.37495849962625,"3.41","1.67",170,"79.9",12,"89",1802,"5.8",718015,672282,595453,592273,650859,570482,687263,621493,545361,592669,"54.67",0.483,0.435,"0.9",1,1,0,4,45,5,"Slider",1,2,2,1,2,1,2,1,"Standard","Standard",132,"-0.037","0.423"
"FF","2023-05-26","94.5","1.18","6.13","Detmers, Reid",650559,672282,,"foul",,,,,1,"Bryan De La Cruz singles on a line drive to left fielder Taylor Ward.","R","R","L","LAA","MIA","S",,,2,1,2023,"0.7","1.41","-0.28","2.96",,,,0,6,"Top",,,,,595453,,,-5.322410137519057,-137.38908727670093,-5.600359294475754,10.057969851114429,34.31703149666519,-13.331125833136335,"3.41","1.67",3,"59.1",-46,"93.4",2049,"6",718015,672282,595453,592273,650859,570482,687263,621493,545361,592669,"54.54",,,,,,,,45,4,"4-Seam Fastball",1,2,2,1,2,1,2,1,"Standard","Standard",143,"0","-0.072"
"FF","2023-05-26","92.8","1.35","6.01","Detmers, Reid",650559,672282,,"called_strike",,,,,7,"Bryan De La Cruz singles on a line drive to left fielder Taylor Ward.","R","R","L","LAA","MIA","S",,,2,0,2023,"0.77","1.3","-0.63","2.16",,,,0,6,"Top",,,,,595453,,,-6.708747148744344,-134.8237440158457,-6.800223892200447,10.929949116932741,31.898375111090946,-15.053361655739778,"3.55","1.88",,,,"91.8",1973,"6",718015,672282,595453,592273,650859,570482,687263,621493,545361,592669,"54.51",,,,,,,,45,3,"4-Seam Fastball",1,2,2,1,2,1,2,1,"Standard","Standard",138,"0","-0.064"
"SL","2023-05-26","89","1.22","6.27","Detmers, Reid",650559,672282,,"ball",,,,,14,"Bryan De La Cruz singles on a line drive to left fielder Taylor Ward.","R","R","L","LAA","MIA","B",,,1,0,2023,"-0.06","0.51","0.38","0.75",,,,0,6,"Top",,,,,595453,,,-1.9048520312294888,-129.39929187981187,-8.470159984863763,-0.28628038126043887,27.453143754850093,-24.909814196022317,"3.57","1.78",,,,"88.2",1737,"5.9",718015,672282,595453,592273,650859,570482,687263,621493,545361,592669,"54.63",,,,,,,,45,2,"Slider",1,2,2,1,2,1,2,1,"Standard","Standard",133,"0","0.067"
"SL","2023-05-26","88.2","1.44","6.24","Detmers, Reid",650559,672282,,"ball",,,,,12,"Bryan De La Cruz singles on a line drive to left fielder Taylor Ward.","R","R","L","LAA","MIA","B",,,0,0,2023,"0.02","0.37","0.82","3.89",,,,0,6,"Top",,,,,595453,,,-1.5464974718302764,-128.53832451410662,-0.44026016788392097,0.5551717274719514,26.178279021477056,-28.160066731588337,"3.68","1.88",,,,"87.4",1734,"5.7",718015,672282,595453,592273,650859,570482,687263,621493,545361,592669,"54.84",,,,,,,,45,1,"Slider",1,2,2,1,2,1,2,1,"Standard","Standard",148,"0","0.039"
"SL","2023-05-26","90.1","1.15","6.21","Detmers, Reid",643265,672282,"strikeout","swinging_strike",,,,,13,"Garrett Cooper strikes out swinging.","R","R","L","LAA","MIA","S",2,,1,2,2023,"-0.06","0.59","-0.72","1.09",,542932,650333,2,5,"Top",,,,,595453,,,-4.462527274673564,-130.98079304329167,-7.882933652994081,0.3311716487786231,29.05005786908597,-23.889186386278126,"3.52","1.75",,,,"88.8",1985,"5.7",718015,672282,595453,592273,650859,570482,687263,621493,545361,592669,"54.85",,,"0",1,0,0,,39,4,"Slider",0,2,2,0,2,0,2,0,"Standard","Standard",141,"0.033","-0.31"
